blockNumber,address,gasPrice,meanGasPriceLastTenBlocks,stdGasPriceLastTenBlocks,meanGasPriceLastTenBlocksSameEOA,stdGasPriceLastTenBlocksSameEOA,usedGasToken,predictedGasPrice
10632314,0x1CBDd8336800Dc3Fe27DAf5fB5188f0502aC1fC7,1.35e-07,1.369465412203058e-07,7.852444632104732e-08,1.3073239436619718e-07,2.382197745359614e-09,False,4.0486856534016624e-08
8146205,0xF808baeAc30cc5f8d1f0eAF20218bEbB3893fE86,1.3e-09,9.916592970863248e-09,1.1731189058702756e-08,1.2999999999999999e-09,2.0679515313825687e-25,False,4.048685298130295e-08
2057199,0x32Be343B94f860124dC4fEe278FDCBD38C102D88,3e-08,2.1485294117647058e-08,9.671809623027278e-09,3e-08,0.0,False,4.0486856534016624e-08
12181905,0xBf72Dd22b09642770f848998797d97df1BD6D580,1.89333976572e-07,2.0799670620129333e-07,1.2856354456092814e-07,1.89333976572e-07,0.0,False,4.04868600867303e-08
7664293,0x52bc44d5378309EE2abF1539BF71dE1b7d7bE3b5,1e-08,8.858760605126903e-09,1.2902649633325837e-08,9.999999999999997e-09,3.3087224502121114e-24,False,4.048685298130295e-08
1320869,0x2a65Aca4D5fC5B5C859090a6c34d164135398226,2e-08,2.225806451612903e-08,5.211449813355971e-09,2e-08,0.0,False,4.0486856534016624e-08
5667439,0x6043a81ae4A052381b21aac944DE408C809f0774,1e-08,1.8510128739839223e-08,1.9359394275325682e-08,1e-08,0.0,False,4.048685298130295e-08
7146568,0xe711fA745e7eF32a87A91c15322886aA0567eA5A,3e-09,1.1060450848895788e-08,1.35793816411314e-08,3e-09,0.0,False,4.048685298130295e-08
17329613,0xB83f09ECa70f549b51335990c193e36737a95369,7.4753216894e-08,6.981694207281423e-08,4.065769685227487e-08,7.4753216894e-08,0.0,False,4.0486856534016624e-08
7229616,0xbA7Aa524e276171149d698E2778925f828910d8F,5.6e-09,9.84013643567774e-09,1.2714616962045012e-08,5.118518518518515e-09,9.055536620445248e-10,False,4.048685298130295e-08
9196461,0x62F2a696dA778AB174A3628Bf50650fc9bA223D7,3.5e-08,1.0459958478768536e-08,1.1428039527038312e-08,3.5e-08,0.0,False,4.048685298130295e-08
19168431,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,1.073977923972e-06,3.250131023741313e-08,4.949098701407256e-08,3.304614690433077e-07,4.154115006775454e-07,False,4.0486856534016624e-08
7532838,0xb5eb8c04AcBA49BA6C98026eD578A374925A837b,1.5e-08,1.4050593532286314e-08,1.6993842997630693e-08,1.5e-08,0.0,False,4.0486856534016624e-08
19348652,0x9c2E658ffC8ea7Fad00A4829Bd4B554e8a716f73,5.6410278758e-08,6.083714807302513e-08,3.639647444056568e-08,5.8091238131333336e-08,1.6837282533443932e-09,False,4.0486856534016624e-08
19087058,0x1C4c5258f386D325c8Df469C6274C39B0EcdCe6f,2.0274546711e-08,2.160696022537347e-08,1.890403530316469e-08,2.08108822745e-08,5.363355635000002e-10,False,4.0486856534016624e-08
9483976,0xBAb40F58e63dA2433401309852b3284edB71F052,1e-08,9.432452845994356e-09,1.1130870479179104e-08,1e-08,0.0,False,4.048685298130295e-08
7883094,0x41f16D44F4220ABF17b492e377bDbf33B0cB8042,2e-08,7.972250057193068e-09,1.2282816112979413e-08,2e-08,0.0,False,4.0486856534016624e-08
13823728,0x3EdF624a1030C9e114dF131FB0479505E311B0B2,1.08e-07,1.0655909113020088e-07,1.671716170256729e-07,1.08e-07,0.0,False,4.0486856534016624e-08
14032989,0x7195d5bb24b53D1aaAdc208d68891a4fbF27Fb8E,9.3719304511e-08,9.95536938595591e-08,1.8777945273806388e-08,9.3719304511e-08,0.0,False,4.0486856534016624e-08
5562674,0x14F301BFaFB5E795F649C8804573085B40700B7a,5e-09,1.0159874714543534e-08,2.247583510649841e-08,5e-09,0.0,False,4.048685298130295e-08
19544414,0x0604D2471AD49a53aAf58e6947634ab994BD0999,2.4921434455e-08,2.7540242198295076e-08,1.4609220796519564e-08,2.4921434455e-08,0.0,False,4.0486856534016624e-08
13072476,0x95c41d60DED66c9CbA290023348E1d096863267B,1.8829820752e-08,2.4098560912579717e-08,1.1256223850291112e-08,1.8829820752e-08,0.0,False,4.0486856534016624e-08
